,method,dim,time,n_gen,n_evals,n_updates
105,pycma,200,2.3404667830000108,1000,19000,333
106,pycma,200,2.351190655999744,1000,19000,333
107,pycma,200,2.3616532220003137,1000,19000,333
108,pycma,200,2.422398778999195,1000,19000,333
109,pycma,200,2.282302249001077,1000,19000,333
110,pycma,200,2.2805919560014445,1000,19000,333
111,pycma,200,2.264775355000893,1000,19000,333
112,pycma,200,2.300991444999454,1000,19000,333
113,pycma,200,2.296304252999107,1000,19000,333
114,pycma,200,2.2572025499994197,1000,19000,333
115,pycma,200,2.458438073999787,1000,19000,333
116,pycma,200,2.3183620370000426,1000,19000,333
117,pycma,200,2.3126392400008626,1000,19000,333
118,pycma,200,2.32500651600094,1000,19000,333
119,pycma,200,2.299387005999961,1000,19000,333
120,pycma,500,8.660937268999987,1000,22000,199
121,pycma,500,8.705488830999457,1000,22000,199
122,pycma,500,8.590589580000596,1000,22000,199
123,pycma,500,8.539211526000145,1000,22000,199
124,pycma,500,8.439178089000052,1000,22000,199
125,pycma,500,8.313168066999424,1000,22000,199
126,pycma,500,8.488405004000015,1000,22000,199
127,pycma,500,8.64408503300001,1000,22000,199
128,pycma,500,8.730133470999135,1000,22000,199
129,pycma,500,8.466917553998428,1000,22000,199
130,pycma,500,8.477031213998998,1000,22000,199
131,pycma,500,8.247212429998399,1000,22000,199
132,pycma,500,8.646479375998751,1000,22000,199
133,pycma,500,8.708869588999733,1000,22000,199
134,pycma,500,8.54599751799833,1000,22000,199
135,pycma,1000,29.4967762590004,1000,24000,124
136,pycma,1000,29.012167872000646,1000,24000,124
137,pycma,1000,27.93344243899992,1000,24000,124
138,pycma,1000,28.30922819099942,1000,24000,124
139,pycma,1000,27.979058864999388,1000,24000,124
140,pycma,1000,28.11712050999995,1000,24000,124
141,pycma,1000,27.912950415000523,1000,24000,124
142,pycma,1000,28.5883970699997,1000,24000,124
143,pycma,1000,28.60895138699925,1000,24000,124
144,pycma,1000,28.46847972299838,1000,24000,124
145,pycma,1000,27.724415839998983,1000,24000,124
146,pycma,1000,28.42927620499904,1000,24000,124
147,pycma,1000,27.965448310000284,1000,24000,124
148,pycma,1000,28.395208088999425,1000,24000,124
149,pycma,1000,28.403830919998654,1000,24000,124
