algorithm_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
FULLNEWUOA,22.0,23127.35714285714,inf,inf,24.33333333333333,2210.333333333333,40487.181818181816,424.06666666666666,494.73333333333335,34535.166666666664,22328.384615384617,2772.266666666667,inf,inf,inf,inf,inf,inf,inf,inf,4782.933333333333,3384.133333333333,inf,inf
NEWUOA,14.2,23887.066666666666,inf,inf,17.366666666666667,4121.833333333333,inf,497.3333333333333,598.0333333333333,24969.233333333334,5739.566666666667,1972.1666666666667,inf,inf,inf,inf,inf,inf,inf,1476492.0,4727.3,2749.833333333333,inf,inf
GLOBAL,8192.153846153846,1016.5333333333332,inf,inf,337.6666666666667,703127.0,inf,957.2666666666668,9064.76923076923,1488.4666666666667,54906.375,76946.83333333333,inf,inf,inf,inf,inf,inf,inf,inf,5288.428571428572,4517.857142857143,inf,inf
MCS,31.8,13672.714285714286,350743.0,inf,10.0,145124.25,inf,486.2,372.8,inf,inf,83875.0,inf,inf,inf,inf,inf,inf,inf,347107.0,9032.92857142857,20007.285714285717,inf,inf
BFGS,13.0,689.2666666666667,inf,inf,31.0,70889.0,inf,615.4,510.6,144516.6,inf,106748.6,inf,inf,inf,inf,inf,inf,inf,708959.0,3662.6,8636.42857142857,inf,inf
DASA,2049.6,2646.9333333333334,17828.133333333335,11462.6,681.3333333333334,224192.9333333333,inf,1740284.6666666667,2518894.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1448482.4285714286,541203.7333333333,172261.8,inf,inf
DIRECT,2314.8,30710.25,inf,inf,132.6,inf,inf,91932.66666666669,92691.0,inf,inf,inf,inf,inf,inf,292645.0,281731.0,inf,inf,inf,20850.75,244437.0,inf,inf
DE-PSO,3081.4,4498.266666666666,inf,inf,405.6,65633.0,48808.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,48841.0,206228.3333333333,inf,inf
LSstep,1617.4666666666667,1394.4666666666667,1657.3333333333333,14408.083333333334,1601.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,718485.0,359215.5,inf,inf,inf
GA,128490.46153846152,199375.3076923077,192815.45454545456,222373.66666666663,inf,inf,213996.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,196686.63636363635,131768.5,inf,inf,inf
LSfminbnd,82.6,94.73333333333332,inf,inf,142.0,89200.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,77393.5,361771.0,inf,inf
BAYEDA,23092.90909090909,19403.666666666668,inf,inf,13228.666666666666,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,705333.0,inf,inf,inf
RANDOMSEARCH,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
